연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
42,SK네트웍스 Family AI 캠프,2,교과목실습4,워커힐 리워즈 멤버십 약관 내용을 기반으로 고객 질문에 답변하는 Q&A 챗봇 프로젝트,"워커힐 리워즈 멤버십은 고객이 포인트 가치와 혜택을 정확히 파악하기 어렵다는 문제가 있어, 이를 해결하기 위해 멤버십 이용약관 Q&A 챗봇 서비스를 개발했습니다. 챗봇은 멤버십 내용을 간략하고 정확하게 전달하고, 대화 내용을 기억하며, 약관에 없는 내용은 알지 못한다고 답변하도록 설계되었습니다. 고객이 멤버십 혜택을 더 쉽고 정확하게 이해하도록 돕는 것을 목표로 합니다.",워커힐 리워즈 멤버십 약관 웹페이지 데이터,"HTML5, CSS3, JavaScript, Bootstrap, Python, Django, Linux, SQLite, VirtualBox, OpenAI, Selenium, LangChain, RAG, Git, GitHub, Visual Studio Code, Discord, Notion",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-4th-2Team
43,SK네트웍스 Family AI 캠프,2,교과목실습4,네이버페이 증권 사이트와 네이버증권 뉴스기사를 주기적으로 크롤링해 RAG 기반 GPT4o-mini 모델로 실시간 증권 정보를 제공하는 금융 챗봇 프로젝트입니다.,"국내 개인투자자들이 바쁜 일상 속에서 빠르게 변하는 증권 정보를 효과적으로 얻기 어렵다는 문제를 해결하려는 프로젝트입니다. 네이버페이 증권 사이트와 네이버증권 뉴스기사를 10분마다 크롤링해 DB에 저장하고, 사용자의 질문에 대해 RAG를 활용한 LLM 방식으로 관련 정보를 찾아 답변하는 챗봇을 구현합니다. 웹 환경에서 이용할 수 있도록 Django를 사용하며, 최신 증권 정보를 편리하고 빠르게 제공하는 것을 목표로 합니다.",네이버페이 증권 사이트 및 네이버증권 뉴스기사 크롤링 데이터,"Python, Django, FastAPI, HTML5, CSS, JavaScript, MySQL, Amazon RDS, GitHub, Git, RAG, GPT4o-mini",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-4th-3Team
44,SK네트웍스 Family AI 캠프,2,교과목실습4,자동차 매뉴얼을 기반으로 사용자의 차량 관련 질문에 답변하는 AI 챗봇 개발 프로젝트입니다.,"방대하고 복잡한 자동차 매뉴얼에서 사용자가 필요한 정보를 즉각적으로 찾기 어려운 문제를 해결하려는 프로젝트입니다. 사용자의 질문을 바탕으로 자동차 모델을 확인하고, 해당 모델의 설명서에서 질문에 맞는 정보를 검색해 LLM을 통해 분석된 답변을 제공합니다. 차량 기능, 경고등 의미, 정비 정보 등을 빠르고 정확하게 제공하여 매뉴얼 탐색에 소요되는 시간을 줄이는 것을 목표로 합니다.",,"Python, HTML5, CSS, JavaScript, OpenAI, LangChain, Django, Google Colab, VSCode, Git, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-4th-4Team
45,SK네트웍스 Family AI 캠프,2,최종프로젝트,사용자의 이력서와 자기소개서를 기반으로 기업·직무 맞춤형 질문을 생성하고 AI 면접 및 피드백을 제공하는 모의면접 서비스입니다.,"이 프로젝트는 사용자가 실전 면접을 대비할 수 있도록 이력서와 자기소개서를 분석해 지원 기업과 직무에 맞는 질문을 제공하는 것을 목표로 합니다. AI 면접관이 실시간으로 질문하고 사용자의 답변을 평가하며, 면접 종료 후 성과 분석과 긍정적 측면 및 개선점에 대한 피드백을 제공합니다. 면접 난이도와 면접관 태도를 선택할 수 있고, 면접 기록과 결과를 저장해 사용자 계정에서 확인할 수 있도록 합니다.",,"Python, Django, FastAPI, HTML, CSS, JavaScript, MySQL, Docker, AWS, LLM 에이전트",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-FINAL-1Team
46,SK네트웍스 Family AI 캠프,2,최종프로젝트,변화하는 경제 구조에 사람들이 적응할 수 있도록 경제 지식을 쉽게 설명하는 AI 인플루언서 기반 웹 페이지를 구현하는 프로젝트입니다.,"핀테크 환경 확산으로 경제 구조의 추상성이 강화되면서 소비자가 난해한 경제 지식을 이해하기 어려운 문제를 다룹니다. AI 인플루언서를 통해 RAG 기반 게시글과 오늘의 단어 콘텐츠를 생성하고, 크롤링한 최신 뉴스 데이터를 LLM으로 요약하는 기능을 제공합니다. 기업이 원하는 방향으로 경제 지식을 제공할 수 있는 웹 페이지 솔루션 제작을 목표로 합니다.",최신 뉴스 웹 크롤링 데이터,"HTML5, CSS3, JavaScript, Bootstrap, Python, Django, PostgreSQL, Gunicorn, Nginx, Linux, OpenAI, LangChain, FAISS, PyTorch, Docker, AWS, RAG, LLM",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-FINAL-2Team
47,SK네트웍스 Family AI 캠프,2,최종프로젝트,회의 내용을 자동으로 전사하고 중요한 포인트를 식별해 요약된 회의록을 제공하는 회의록 자동화 서비스 프로젝트,"기업 회의에서 논의 사항을 정확히 기록하고 공유하는 데 시간이 많이 들며, 중요한 논점이나 결정을 놓칠 수 있다는 문제를 해결하고자 합니다. 핵심 기능은 회의 내용을 자동으로 전사하고 중요한 포인트를 식별하며 요약된 회의록을 제공하는 것입니다. 이를 통해 정보의 일관성 유지, 효율적인 의사결정 지원, 프로젝트 흐름 이해와 협업의 질 향상을 목표로 합니다.",,"Python, FastAPI, Hugging Face, PyTorch, NumPy, Django, HTML5, CSS, JavaScript, jQuery, Bootstrap, AWS, Amazon EC2, MySQL, Amazon RDS, Amazon S3, Docker, GitHub, Git, Notion, Google Drive, Google Colab",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-FINAL-3Team
48,SK네트웍스 Family AI 캠프,2,최종프로젝트,LLM과 협업 필터링을 활용해 사용자와의 대화를 기반으로 개인 맞춤형 상품을 추천하는 시스템입니다.,"이 프로젝트는 사용자가 필요한 상품을 찾기 위해 직접 검색해야 하는 과정을 줄이고, 대화를 통해 개인에게 맞는 상품을 추천하는 것을 목표로 합니다. 최신 논문 기반의 CF와 LLM 활용 모델 구조를 적용하여 사용자 구매이력과 입력을 분석하고, 맞춤형 상품 추천을 제공하는 대화형 인터페이스를 구현합니다.",,"Python, OpenAI, Hugging Face, Django, AWS, FastAPI, MySQL, HTML, JavaScript, CSS, Google Colab, VS Code, Google Drive, Notion",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-FINAL-4Team
49,SK네트웍스 Family AI 캠프,3,교과목실습1,전국 자동차 등록 현황 조회와 기아·제네시스 기업 FAQ 검색 기능을 제공하는 시스템입니다.,"이 프로젝트는 전국 자동차 등록 현황 데이터를 제공하여 사용자가 차량 구매와 관련해 데이터 기반 의사결정을 할 수 있도록 지원하는 것을 목표로 합니다. 사용자는 차량 브랜드와 모델별로 자동차 등록 현황을 검색·조회할 수 있으며, 기아와 제네시스의 자동차 관련 FAQ를 검색하고 답변을 확인할 수 있습니다. 추가로 국내 차량 등록 현황 차트와 FAQ 검색 결과 키워드 분석을 제공합니다.","전국 자동차 등록 현황 크롤링 데이터, 기아·제네시스 FAQ 크롤링 데이터","Python, Selenium, Streamlit, MySQL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-1st-1Team
50,SK네트웍스 Family AI 캠프,3,교과목실습1,Streamlit을 통해 전국 자동차 등록 현황을 조건별로 조회하고 카카오맵·원네비·아틀란의 기업 FAQ를 조회·비교하는 시스템입니다.,"이 프로젝트는 전국 자동차 등록 현황과 여러 기업의 FAQ 정보를 사용자가 조건에 따라 쉽게 조회할 수 있도록 하는 것을 목표로 합니다. 자동차 등록 현황은 날짜와 지역 등의 입력값을 바탕으로 API 데이터를 호출해 차량 대수를 출력하고, 기업 FAQ 조회 시스템은 크롤링한 FAQ의 질문·답변·키워드를 DB에 저장한 뒤 기업별로 확인할 수 있게 합니다.","전국 자동차 등록 현황 API 데이터, 카카오맵·원네비·아틀란 FAQ 웹 크롤링 데이터","Streamlit, BeautifulSoup, Pandas, SQLAlchemy, MySQL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-1st-2Team
51,SK네트웍스 Family AI 캠프,3,교과목실습1,국산 차량 판매 데이터를 시각화하고 브랜드 및 모델 순위와 FAQ 조회 기능을 제공하는 차량 구매 가이드 프로젝트,"차량 구매 소비자가 꾸준히 존재한다는 점을 바탕으로, 국산 차량의 전반적인 판매 데이터를 보기 좋게 제공해 차량 구매에 유익한 가이드를 제공하고자 한다. 주요 기능은 연도별 차량 소비자 증가 그래프, 국산 차량 브랜드 월별 판매량·전월 대비 판매량·점유율 제공, 상위 3개 브랜드의 모델 정보 및 검색 링크 제공, 상위 브랜드 통합 FAQ 조회 시스템이다.",,"Streamlit, 웹 크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-1st-3Team
52,SK네트웍스 Family AI 캠프,3,교과목실습1,전국 자동차 등록 현황을 조회하고 현대·기아 자동차 기업 FAQ 답변을 제공하는 조회 시스템입니다.,"이 프로젝트는 대한민국 자동차 등록 데이터와 자동차 관련 기업의 자주 묻는 질문에 대한 답변을 조회할 수 있는 플랫폼을 구현합니다. 핵심 기능은 전국 자동차 등록 현황 조회와 현대·기아 FAQ 조회이며, FAQ 데이터는 기업 홈페이지의 FAQ 부분을 웹 크롤링하여 CSV로 추출한 내용을 활용합니다.",현대·기아 기업 홈페이지 FAQ 웹 크롤링 데이터,"MySQL, Streamlit, Python, Web Crawling, BeautifulSoup, Selenium, Requests, Pandas",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-1st-4Team
53,SK네트웍스 Family AI 캠프,3,교과목실습1,전국 자동차 등록 현황 데이터를 시각화하고 기업 FAQ를 조회할 수 있는 웹 애플리케이션입니다.,"이 프로젝트는 전국 자동차 등록 현황을 지역별로 확인하고 기업 관련 FAQ를 조회할 수 있도록 구성된 시스템입니다. 자동차 등록 현황 페이지에서는 자가용, 공업용, 종합 현황 탭을 통해 지역별 자동차 보유 현황을 확인할 수 있으며, 기업 FAQ는 웹크롤링으로 질문과 답변을 추출해 조회할 수 있도록 정리했습니다.",국토교통 통계누리 자동차 등록 현황 데이터; 문화빅데이터플랫폼 전국 공영 주차장 자료; 기아 자동차 FAQ 홈페이지 웹크롤링 데이터,"Selenium, MySQL, 웹크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-1st-5Team
54,SK네트웍스 Family AI 캠프,3,교과목실습1,국내 자동차 등록 현황 및 자동차 제조사 고객 FAQ 조회 시스템,"전국 자동차 등록 현황을 연도·지역별로 조회하고, 자동차 제조사별 고객 FAQ를 브랜드 및 키워드 기준으로 검색할 수 있는 웹 서비스","현대자동차 고객센터 FAQ 데이터(웹 크롤링), 기아 고객 FAQ 데이터(웹 크롤링)","Python, Streamlit, Pandas, Selenium, BeautifulSoup, Requests, Web Crawling",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-1st-6Team
55,SK네트웍스 Family AI 캠프,3,교과목실습2,"수도권의 사우나, 온천, 미술관, 수목원 등 힐링 공간의 스팟과 랭킹 정보를 시각화해 제공하는 프로젝트","서울과 인천 등 수도권 청년들이 우울감, 외로움, 스트레스를 많이 경험한다는 문제의식에서 출발해 스스로 스트레스를 해소할 수 있는 힐링 공간 정보를 제공하고자 했다. 핵심 기능은 힐링 공간 카테고리별 상위 5개 시·군 스팟 시각화와 카테고리별 리뷰 수 기반 랭킹 Top 10 및 세부 정보 제공이다. 프로젝트는 수도권 힐링 공간 정보를 시각화해 사용자가 쉽게 확인할 수 있도록 하는 것을 목표로 한다.","공공데이터포털 서울시 수목원 정보, 경기데이터드림 경기도 수목원 및 온천 정보, 지방행정인허가데이터개방 서울시·경기도 사우나 정보, 문화빅데이터 플랫폼 서울시·경기도 미술관 정보, 네이버 지도 크롤링 리뷰 개수 및 장소 이미지 데이터","Django, Docker, AWS, JavaScript, CSS, GeoJSON",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-2nd-1Team
56,SK네트웍스 Family AI 캠프,3,교과목실습2,코로나19 팬데믹 전후 상업적으로 성공한 영화 데이터를 분석해 기간·장르·지역별 흥행 특징과 인기 순위를 제공하는 프로젝트,"코로나19 팬데믹 이후 변화한 영화 소비 환경에서 상업적으로 성공한 영화의 특징을 분석해 영화 제작자에게 인사이트를 제공하고자 한다. 월별·분기별·특정 기간별 흥행 장르, 기간·장르·지역별 인기 영화 순위, 제작사별 인기 영화 워드클라우드 등을 분석하고 시각화하는 기능을 포함한다.",,"Python, JavaScript, Vue.js, Tailwind CSS, FastAPI, MySQL, AWS, Vite, Bootstrap, ESLint, Prettier, Figma",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-2nd-2Team
57,SK네트웍스 Family AI 캠프,3,교과목실습2,한국 액티브 시니어의 현황을 분석하고 문화생활 장소 정보를 직관적으로 제공하는 맞춤형 인터넷 지도 제작 프로젝트,"이 프로젝트는 한국의 액티브 시니어 증가 여부와 문화소비 특성을 가설 기반으로 분석하고, 그 결과를 그래프와 차트로 시각화한다. 또한 액티브 시니어들이 직접 검색하지 않아도 활용할 수 있도록 네이버 지도 형태의 맞춤형 인터넷 지도를 제작하고, 망곰이 마크를 통해 즐길 수 있는 장소 정보를 제공하는 것을 목표로 한다.","공공데이터(문화관광) 시니어 문화생활 정보 데이터, 통계청 가공 데이터","네이버 지도, AWS, Docker, NGINX, ECR, CodeBuild, IAM, ECS, CodePipeline, HTML, JavaScript",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-2nd-3Team
58,SK네트웍스 Family AI 캠프,3,교과목실습2,"제주도 관광 데이터를 분석·시각화하여 관광객 패턴, 소비 트렌드, 날씨, 교통 정보를 기반으로 개인화된 관광 일정을 제공하는 시스템입니다.","이 프로젝트는 제주도를 방문하는 내국인과 외국인 관광객의 행동 데이터와 소비 패턴을 분석해 관광 트렌드를 파악하는 것을 목표로 합니다. 핵심 기능은 관광 목적, 방문 형태, 카드 결제 데이터, 여행 일정, 기상 데이터, 차량 교통량 데이터를 분석하고 차트와 지도 형태로 시각화하는 것입니다. 이를 통해 맞춤형 관광 정보 제공, 관광 일정 최적화, 지역 경제 및 관광 산업 기여를 지향합니다.",,"Python, BeautifulSoup, OpenAPI 3.0, requests, Pandas, MySQL, SQLAlchemy, HTML5, CSS3, JavaScript, Django, AWS, AWS RDS, EC2, ApexCharts, Gunicorn, Nginx, Docker",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-2nd-4Team
59,SK네트웍스 Family AI 캠프,3,교과목실습2,서울에서 진행되는 다양한 문화체험을 소개하고 정보를 제공하는 프로젝트,"문화접근성 향상, 지역 문화 활성화, 문화 예술 정보의 중앙화, 문화 콘텐츠의 다양성 홍보, 관광객 및 외국인 접근성 개선을 위한 문화 체험 정보 시스템",,"AWS, Django, MySQL, Docker, Nginx, gunicon, Dockerhub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-2nd-5Team
60,SK네트웍스 Family AI 캠프,3,교과목실습2,"서울시 자전거 편의시설, 자전거 길, 공공자전거 정보를 지도에서 조회할 수 있는 사이트를 구현하는 프로젝트","팀원들이 관심을 가진 자전거를 주제로, 서울시에 있는 자전거 편의시설과 자전거 길을 사용자가 조회할 수 있는 사이트를 만들고자 했습니다. 나아가 공공자전거인 따릉이도 조회할 수 있도록 구현했으며, 위치 정보 기반 조회 결과를 쉽게 이해할 수 있도록 지도 API를 활용했습니다.",,지도 API,https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-2nd-6Team
61,SK네트웍스 Family AI 캠프,3,교과목실습3,통신사 고객 이탈 데이터셋을 활용해 가입 고객의 이탈 가능성을 예측하고 맞춤형 제안 서비스를 설계하는 Django 기반 프로젝트입니다.,"이 프로젝트는 이탈 가능성이 높은 고객을 예측하여 특정 요금제나 혜택을 제안함으로써 고객 이탈을 줄이는 방안을 설계합니다. Django를 이용한 화면 개발과 관리자 분석 페이지 개발을 목표로 하며, 고객 이탈 예측 모델을 개발하고 결과를 설명합니다. 여러 분류 모델을 비교한 뒤 고객 이탈 예측에서는 재현율을 중점적으로 평가해야 한다고 보고 가우시안 NB 모델을 활용했습니다.",Kaggle Telco Customer Churn Dataset,"Django, Python, Pandas, seaborn, matplotlib, scikit-learn, NumPy, SciPy, SHAP, JavaScript",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-3rd-1Team
